Created_Date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,Latitude,Longitude,Neighborhood
2021,539000.0,43,1,1,1,-23.64700152286752,-46.70490466506418,Santo Amaro
2020,1149000.0,57,1,1,1,-23.56413595,-46.69517321540903,Pinheiros
2024,255000.0,55,1,1,1,-23.55915035,-46.59986904629216,Mooca
2018,210000.0,42,1,1,1,-23.47033400694629,-46.72317915217301,Vila Mirante
2018,640000.0,47,1,1,1,-23.62681149561859,-46.663729669008255,Campo Belo
2022,390000.0,45,1,1,1,-23.543865389310827,-46.645592199322415,Vila Buarque
2018,1050000.0,45,1,1,2,-23.60482437423106,-46.6582722533614,Moema
2018,2553192.0,90,1,1,2,-23.579465084589025,-46.673280870640205,Itaim Bibi
2023,2300000.0,86,1,1,2,-23.58167493911725,-46.66978213543193,Jardim Paulista
2018,438800.0,80,1,1,2,-23.452523509704413,-46.6145932381845,Tremembé
2019,369000.0,42,1,1,2,-23.5137228,-46.62600613655272,Santana
2018,360000.0,42,1,1,2,-23.636001915256507,-46.73780430432569,Vila Andrade
2024,438800.0,80,1,1,2,-23.452523509704413,-46.6145932381845,Tremembé
2018,215000.0,35,1,1,3,-23.555372380949915,-46.48753685072094,Cidade Líder
2018,550000.0,52,1,1,3,-23.56067898116271,-46.64137957443678,Bela Vista
2018,2058000.0,132,1,1,3,-23.55968615,-46.66316625,Cerqueira César
2018,315000.0,50,1,1,100,-23.679180676503663,-46.67989076049197,Vila Campo Grande
2018,400000.0,48,1,1,48,-23.53553493132726,-46.65858666485027,Santa Cecília
2018,1083000.0,60,1,1,5,-23.58128734868324,-46.67636342519726,Itaim Bibi
2018,778000.0,38,1,1,6,-23.57345061845568,-46.64561062666732,Paraíso
2023,259900.0,46,1,1,7,-23.53564463633213,-46.48221881115499,Jardim Nordeste
2021,1200000.0,59,1,2,1,-23.626844521213176,-46.68246318539821,Campo Belo
2022,590000.0,67,1,2,1,-23.54856785856128,-46.68829134097778,Pinheiros
2018,625000.0,59,1,2,1,-23.53166575,-46.68485683328906,Perdizes
2018,679980.0,42,1,2,1,-23.5745725,-46.6370141,Paraíso
