created_date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,extract_date,Latitude,Longitude,Rua,Bairro
2021-02-08,539000.0,43,1,1,1,2024-11-25,-23.64700152286752,-46.70490466506418,Rua Coronel Luís Barroso 582,Santo Amaro
2020-07-22,1149000.0,57,1,1,1,2024-11-25,-23.56413595,-46.69517321540903,Rua Fernão Dias 323,Pinheiros
2024-11-12,255000.0,55,1,1,1,2024-11-25,-23.55915035,-46.59986904629216,Avenida Paes de Barros 411,Mooca
2018-03-27,210000.0,42,1,1,1,2024-11-25,-23.47033400694629,-46.72317915217301,Rua Antônio Pais de Sande,Vila Mirante
2018-03-30,640000.0,47,1,1,1,2024-11-25,-23.62681149561859,-46.663729669008255,Rua Doutor Jesuíno Maciel 2105,Campo Belo
2022-08-11,390000.0,45,1,1,1,2024-11-25,-23.543865389310827,-46.645592199322415,Rua Marquês de Itu 836,Vila Buarque
2018-03-28,1050000.0,45,1,1,2,2024-11-25,-23.60482437423106,-46.6582722533614,Avenida Moema 267,Moema
2018-03-27,2553192.0,90,1,1,2,2024-11-25,-23.579465084589025,-46.673280870640205,Rua Itacema 65,Itaim Bibi
2023-05-30,2300000.0,86,1,1,2,2024-11-25,-23.58167493911725,-46.66978213543193,Rua Oliveira Dias,Jardim Paulista
2018-03-27,438800.0,80,1,1,2,2024-11-25,-23.452523509704413,-46.6145932381845,Avenida Senador José Ermírio de Moraes 389,Tremembé
2019-02-19,369000.0,42,1,1,2,2024-11-25,-23.5137228,-46.62600613655272,Rua Voluntários da Pátria,Santana
2018-03-27,360000.0,42,1,1,2,2024-11-25,-23.636001915256507,-46.73780430432569,Rua Alexandre Benois 125,Vila Andrade
2024-08-16,438800.0,80,1,1,2,2024-11-25,-23.452523509704413,-46.6145932381845,Avenida Senador José Ermírio de Moraes 389,Tremembé
2018-03-27,215000.0,35,1,1,3,2024-11-25,-23.555372380949915,-46.48753685072094,Rua Serra das Divisões,Cidade Líder
2018-03-27,550000.0,52,1,1,3,2024-11-25,-23.56067898116271,-46.64137957443678,Rua Monsenhor Passaláqua 175,Bela Vista
2018-03-27,2058000.0,132,1,1,3,2024-11-25,-23.55968615,-46.66316625,Rua Haddock Lobo 829,Cerqueira César
2018-03-28,315000.0,50,1,1,100,2024-11-25,-23.679180676503663,-46.67989076049197,Rua João Scatamacchia 292,Vila Campo Grande
2018-07-20,400000.0,48,1,1,48,2024-11-25,-23.53553493132726,-46.65858666485027,Alameda Barros,Santa Cecília
2018-03-28,1083000.0,60,1,1,5,2024-11-25,-23.58128734868324,-46.67636342519726,Rua Pedroso Alvarenga 610,Itaim Bibi
2018-03-28,778000.0,38,1,1,6,2024-11-25,-23.57345061845568,-46.64561062666732,Rua Sampaio Viana 180,Paraíso
2023-09-06,259900.0,46,1,1,7,2024-11-25,-23.53564463633213,-46.48221881115499,Rua Quixodi 191,Jardim Nordeste
2021-02-08,1200000.0,59,1,2,1,2024-11-25,-23.626844521213176,-46.68246318539821,Rua Constantino de Sousa 1144,Campo Belo
2022-08-29,590000.0,67,1,2,1,2024-11-25,-23.54856785856128,-46.68829134097778,Rua João Moura 2370,Pinheiros
2018-03-27,625000.0,59,1,2,1,2024-11-25,-23.53166575,-46.68485683328906,Rua Cotoxó 536,Perdizes
2018-03-28,679980.0,42,1,2,1,2024-11-25,-23.5745725,-46.6370141,Rua do Paraíso 667,Paraíso
2024-10-14,329000.0,50,1,2,1,2024-11-25,-23.606160995774648,-46.66526985633802,Avenida Ibijaú 362,Moema
2024-06-19,1602317.3015935991,40,1,2,1,2024-11-25,-23.652559537882603,-46.636298371287374,Rua das Pérolas 35,Vila do Encontro
2018-03-27,3099980.0,62,1,2,2,2024-11-25,-23.5181134,-46.7139169,Rua Fortunato Ferraz 210,Vila Anastácio
2018-03-27,839820.0,69,1,2,2,2024-11-25,-23.529712,-46.73142055,Avenida Imperatriz Leopoldina 915,Vila Leopoldina
2018-03-27,530000.0,58,1,2,2,2024-11-25,-23.562208476661723,-46.66024132258611,Alameda Ministro Rocha Azevedo 525,Cerqueira César
2022-02-04,1550000.0,85,1,2,3,2024-11-25,-23.55792078249385,-46.68215041018727,Rua Cardeal Arcoverde,Pinheiros
